,activities,subject,bodyaccelerationmeanx,bodyaccelerationmeany,bodyaccelerationmeanz,bodyaccelerationstandarddeviationx,bodyaccelerationstandarddeviationy,bodyaccelerationstandarddeviationz,gravityaccelerationmeanx,gravityaccelerationmeany,gravityaccelerationmeanz,gravityaccelerationstandarddeviationx,gravityaccelerationstandarddeviationy,gravityaccelerationstandarddeviationz,bodyaccelerationjerkmeanx,bodyaccelerationjerkmeany,bodyaccelerationjerkmeanz,bodyaccelerationjerkstandarddeviationx,bodyaccelerationjerkstandarddeviationy,bodyaccelerationjerkstandarddeviationz,bodygyromeanx,bodygyromeany,bodygyromeanz,bodygyrostandarddeviationx,bodygyrostandarddeviationy,bodygyrostandarddeviationz,bodygyrojerkmeanx,bodygyrojerkmeany,bodygyrojerkmeanz,bodygyrojerkstandarddeviationx,bodygyrojerkstandarddeviationy,bodygyrojerkstandarddeviationz,bodyaccelerationmagnitudemean,bodyaccelerationmagnitudestandarddeviation,gravityaccelerationmagnitudemean,gravityaccelerationmagnitudestandarddeviation,bodyaccelerationjerkmagnitudemean,bodyaccelerationjerkmagnitudestandarddeviation,bodygyromagnitudemean,bodygyromagnitudestandarddeviation,bodygyrojerkmagnitudemean,bodygyrojerkmagnitudestandarddeviation,bodyaccelerationmeanx,bodyaccelerationmeany,bodyaccelerationmeanz,bodyaccelerationstandarddeviationx,bodyaccelerationstandarddeviationy,bodyaccelerationstandarddeviationz,bodyaccelerationmeanfrequencyx,bodyaccelerationmeanfrequencyy,bodyaccelerationmeanfrequencyz,bodyaccelerationjerkmeanx,bodyaccelerationjerkmeany,bodyaccelerationjerkmeanz,bodyaccelerationjerkstandarddeviationx,bodyaccelerationjerkstandarddeviationy,bodyaccelerationjerkstandarddeviationz,bodyaccelerationjerkmeanfrequencyx,bodyaccelerationjerkmeanfrequencyy,bodyaccelerationjerkmeanfrequencyz,bodygyromeanx,bodygyromeany,bodygyromeanz,bodygyrostandarddeviationx,bodygyrostandarddeviationy,bodygyrostandarddeviationz,bodygyromeanfrequencyx,bodygyromeanfrequencyy,bodygyromeanfrequencyz,bodyaccelerationmagnitudemean,bodyaccelerationmagnitudestandarddeviation,bodyaccelerationmagnitudemeanfrequency,bodybodyaccelerationjerkmagnitudemean,bodybodyaccelerationjerkmagnitudestandarddeviation,bodybodyaccelerationjerkmagnitudemeanfrequency,bodybodygyromagnitudemean,bodybodygyromagnitudestandarddeviation,bodybodygyromagnitudemeanfrequency,bodybodygyrojerkmagnitudemean,bodybodygyrojerkmagnitudestandarddeviation,bodybodygyrojerkmagnitudemeanfrequency,angleofbodyaccelerationmeanandgravity,angleofbodyaccelerationjerkmeanandgravitymean,angleofbodygyromeanandgravitymean,angleofbodygyrojerkmeanandgravitymean,angleofxandgravitymean,angleofyandgravitymean,angleofzandgravitymean
1,laying,1,0.276751616,-0.017812699,-0.10863384,-0.616209386,-0.565180704,-0.631709866,0.658907506,0.024122762,0.140048887,-0.972559431,-0.961202029,-0.945352086,0.07905301,0.00843768,-0.003558922,-0.670051858,-0.653122345,-0.785520423,-0.035859896,-0.070341665,0.09434928,-0.728343908,-0.696140537,-0.663418312,-0.094555342,-0.04333804,-0.055467951,-0.749646066,-0.828523571,-0.767379844,-0.574854111,-0.611747174,-0.574854111,-0.611747174,-0.685047373,-0.664703818,-0.616880725,-0.678069565,-0.795605431,-0.818510146,-0.634514632,-0.583917642,-0.688918108,-0.610256103,-0.584307706,-0.633041973,-0.226680343,0.010305903,0.056751039,-0.680073115,-0.668875321,-0.766163245,-0.689783417,-0.660088675,-0.803894734,-0.049936151,-0.203842206,-0.1060618,-0.68641118,-0.736701244,-0.667420866,-0.743808124,-0.679064456,-0.694371743,-0.106748592,-0.21467097,-0.062455721,-0.615710576,-0.670728751,0.076245283,-0.658343139,-0.675473633,0.176309008,-0.728706481,-0.702386788,-0.08062421,-0.820261933,-0.829306856,0.113253103,0.0077789,0.005688055,0.009137554,-0.017012993,-0.512091927,0.055233774,-0.083816078
2,sitting,2,0.274440053,-0.017255118,-0.107590849,-0.615346259,-0.506769878,-0.568877428,0.699842156,-0.011210524,0.007106557,-0.963640722,-0.955112545,-0.939330615,0.080132633,0.006334883,-0.005829555,-0.663591752,-0.627334823,-0.765209077,-0.01782726,-0.078852829,0.075631636,-0.745719332,-0.665517254,-0.638554705,-0.099781635,-0.043767862,-0.051693146,-0.788054823,-0.805795058,-0.770657233,-0.541846667,-0.592039864,-0.541846667,-0.592039864,-0.66215611,-0.656388216,-0.602101521,-0.671248789,-0.789408155,-0.81548387,-0.638013971,-0.543918656,-0.645129777,-0.60793187,-0.520190236,-0.564844748,-0.238281702,-0.015713256,0.015018266,-0.681404431,-0.646394013,-0.744531304,-0.675552297,-0.63239445,-0.784847895,-0.058699822,-0.210599139,-0.139491985,-0.718318715,-0.708747151,-0.651988544,-0.756433032,-0.646735769,-0.669031368,-0.142082315,-0.19635329,-0.081403031,-0.592729475,-0.656629032,0.056390796,-0.645589896,-0.673719571,0.19784819,-0.71623799,-0.700163957,-0.081472739,-0.811905466,-0.834167399,0.151197199,0.015638228,-0.005712229,-0.012554392,0.008756712,-0.50178281,0.07386257,0.003238835
3,standing,3,0.274033337,-0.018218989,-0.110617002,-0.623634624,-0.525478162,-0.619193754,0.604086434,0.024870176,0.153581901,-0.959373871,-0.949045703,-0.930254569,0.078841349,0.011069574,-0.004690026,-0.650921716,-0.628845353,-0.744617714,-0.021177626,-0.080755674,0.085542787,-0.719355787,-0.695879675,-0.671742133,-0.101348218,-0.039870324,-0.056643007,-0.727310016,-0.771698697,-0.763906459,-0.552990887,-0.614868067,-0.552990887,-0.614868067,-0.652136326,-0.642437522,-0.616053684,-0.662313302,-0.754157572,-0.767154979,-0.642850365,-0.555468004,-0.656762232,-0.61778259,-0.541272932,-0.630684474,-0.230463895,0.017924849,0.061517677,-0.66822342,-0.644920702,-0.725745224,-0.664853512,-0.637334686,-0.762544583,-0.009656298,-0.190210246,-0.103115229,-0.666402365,-0.704425068,-0.665223353,-0.737742733,-0.695055668,-0.705405522,-0.098443654,-0.193217525,-0.053393296,-0.603568201,-0.683864683,0.074045404,-0.634419284,-0.656605264,0.199954592,-0.69124458,-0.704143245,-0.04052689,-0.769810864,-0.781575607,0.13905448,0.005967664,0.008816175,0.012065347,0.008273575,-0.417377661,0.054132774,-0.10511964
4,walking,4,0.273741784,-0.018177411,-0.108454073,-0.590847775,-0.513945459,-0.61960859,0.684315201,-0.032427651,0.088623307,-0.963945081,-0.953389602,-0.937944207,0.07856951,0.006388495,-0.005526454,-0.591761514,-0.58407353,-0.766173278,-0.046860806,-0.070242096,0.097666028,-0.707539126,-0.698348988,-0.649936266,-0.092628057,-0.042103327,-0.056334526,-0.72254578,-0.7939531,-0.730413987,-0.542111151,-0.576808761,-0.542111151,-0.576808761,-0.623549878,-0.585080074,-0.599829456,-0.672077973,-0.76398533,-0.775350298,-0.592932185,-0.526546706,-0.667888801,-0.591381277,-0.53982296,-0.625240483,-0.188722036,0.035043555,0.046718868,-0.611608479,-0.602655011,-0.745411642,-0.608582123,-0.592868862,-0.785896808,-0.037532192,-0.19514923,-0.118707966,-0.65199939,-0.716260581,-0.634297605,-0.72680871,-0.692746928,-0.689601158,-0.101025145,-0.162086853,-0.050440447,-0.561661346,-0.653222361,0.100509567,-0.579039449,-0.596280756,0.154486266,-0.70134855,-0.711189221,-0.031819242,-0.776452647,-0.790451276,0.126749075,0.008097601,0.002452937,0.063102125,-0.014900577,-0.525827677,0.090987931,-0.050499958
5,walkingdownstairs,5,0.274158979,-0.017184091,-0.109838103,-0.558098478,-0.446870252,-0.608735322,0.692455976,0.018454183,0.060564243,-0.962506709,-0.948223017,-0.933432819,0.078518064,0.006447204,-0.003968587,-0.591224749,-0.53262812,-0.746325943,-0.036012661,-0.072608729,0.090970281,-0.685464745,-0.677333344,-0.645339302,-0.096049562,-0.043791814,-0.053956663,-0.652070118,-0.740255133,-0.653626149,-0.503016464,-0.531005636,-0.503016464,-0.531005636,-0.60288677,-0.564856644,-0.588046014,-0.626021922,-0.705868642,-0.713127634,-0.571397208,-0.471878704,-0.653941571,-0.55444345,-0.469875278,-0.617254764,-0.224010094,0.038256801,0.041003032,-0.610201358,-0.567414338,-0.728179644,-0.60852925,-0.526681106,-0.763116386,-0.080837475,-0.255152739,-0.158542407,-0.613562199,-0.680101092,-0.59586021,-0.710254819,-0.680078645,-0.697450056,-0.064044971,-0.099890037,0.011298186,-0.526387311,-0.608217139,0.071544926,-0.557271816,-0.578597146,0.118853487,-0.647874678,-0.679078626,0.013255718,-0.720784787,-0.724442446,0.074391222,-0.000532335,-0.002763411,0.035261083,-0.029139934,-0.533016265,0.039184707,-0.029837914
6,walkingupstairs,6,0.272447477,-0.017656907,-0.108432316,-0.633037747,-0.479497806,-0.629520014,0.689412266,-0.001869665,0.086585852,-0.968820286,-0.958430676,-0.947004178,0.078331783,0.008441224,-0.004424531,-0.658283201,-0.598333345,-0.765240545,-0.029796174,-0.074938621,0.086172144,-0.733990169,-0.656407255,-0.648204701,-0.095311125,-0.041284649,-0.054518565,-0.730042657,-0.760534019,-0.729625942,-0.564119025,-0.606179503,-0.564119025,-0.606179503,-0.657764539,-0.635079179,-0.602595304,-0.655814403,-0.747643541,-0.759226082,-0.645653209,-0.521416487,-0.674995134,-0.629490821,-0.492253537,-0.636347844,-0.218663048,0.011787317,0.061450794,-0.677336807,-0.624326465,-0.748237065,-0.669339638,-0.597361195,-0.780874282,-0.060394306,-0.239570697,-0.12783676,-0.683607038,-0.679713231,-0.635061991,-0.751504535,-0.648080018,-0.686248875,-0.083544766,-0.155967003,-0.058605894,-0.600340533,-0.672498207,0.083237426,-0.632545195,-0.641216252,0.178382371,-0.684669773,-0.698106205,-0.008519289,-0.761494344,-0.773881273,0.147816441,0.007690365,0.005971232,0.003516072,-0.017211866,-0.502648369,0.063396898,-0.04703349
7,NA,1,0.265696921,-0.018298173,-0.107845735,-0.545795331,-0.367716218,-0.502645747,0.744867412,-0.082556258,0.07233987,-0.959859436,-0.951150627,-0.925817591,0.07709305,0.016590844,-0.009107587,-0.524721923,-0.470412404,-0.717322275,-0.020876406,-0.088072273,0.086264167,-0.686555715,-0.45097981,-0.597496137,-0.09711202,-0.041716481,-0.047139399,-0.637812687,-0.634472245,-0.664591978,-0.453632944,-0.497096402,-0.453632944,-0.497096402,-0.545431612,-0.515922168,-0.475404786,-0.499839594,-0.639517433,-0.652050771,-0.531895161,-0.406435449,-0.596411165,-0.553060617,-0.39015094,-0.498583092,-0.180558714,0.057629165,0.058369278,-0.547348892,-0.507343618,-0.695305114,-0.543979776,-0.466251677,-0.737861933,-0.048800597,-0.215279158,-0.096449638,-0.623219182,-0.505309434,-0.553529065,-0.708263421,-0.429825833,-0.650476162,-0.03203241,-0.090151724,-0.018006394,-0.478448523,-0.589710231,0.142062163,-0.499075766,-0.54182308,0.20005518,-0.53500277,-0.56657667,0.064930944,-0.645970655,-0.685811263,0.19803158,0.037607706,0.009018109,-0.013450953,-0.001630354,-0.535773765,0.122790251,-0.039079018
8,NA,2,0.273113116,-0.019132318,-0.115649958,-0.605586497,-0.428962987,-0.589360062,0.660782867,-0.147219887,0.134865335,-0.963015508,-0.96003356,-0.945365384,0.078535316,0.007087712,0.000755761,-0.557809603,-0.49187589,-0.741885388,-0.051703066,-0.056842019,0.087259942,-0.710648928,-0.722943674,-0.634888928,-0.087558749,-0.043398684,-0.055754183,-0.671679103,-0.783595467,-0.674611933,-0.535281801,-0.552812546,-0.535281801,-0.552812546,-0.587777445,-0.512115278,-0.614771055,-0.680584888,-0.746559539,-0.740088734,-0.573770911,-0.432566581,-0.630081222,-0.619788103,-0.464723863,-0.600678615,-0.106763419,0.105734176,0.087210586,-0.56168205,-0.508903799,-0.71574533,-0.595105613,-0.509147544,-0.767087015,0.086800054,-0.139776595,-0.094265187,-0.638717695,-0.722068979,-0.60159489,-0.73458854,-0.727167741,-0.683114495,-0.005765006,-0.070215501,0.051362729,-0.514569861,-0.646662308,0.192199738,-0.509746433,-0.518800798,0.193066821,-0.699742945,-0.725310338,0.047132481,-0.751615078,-0.744194981,0.124612069,0.009871767,0.014044576,0.074585052,-0.037292798,-0.434486657,0.172286841,-0.078865459
9,NA,3,0.27342872,-0.017856067,-0.106492632,-0.623413602,-0.480015921,-0.653625579,0.707814353,-0.026059048,0.04809379,-0.966457566,-0.944564537,-0.926966278,0.070173126,0.014466433,-0.000526819,-0.635484688,-0.557211868,-0.79606624,-0.024849068,-0.074356531,0.08668755,-0.699262196,-0.763022182,-0.70948344,-0.099155461,-0.040192394,-0.052117826,-0.689328429,-0.842659862,-0.743028501,-0.563140803,-0.59122478,-0.563140803,-0.59122478,-0.650182434,-0.607658214,-0.643150122,-0.674010291,-0.784056656,-0.803661364,-0.62573329,-0.501779939,-0.699656829,-0.623805015,-0.50275364,-0.657443766,-0.19281734,0.038928252,0.004472614,-0.645893497,-0.582949919,-0.780101644,-0.657844056,-0.559851186,-0.810806017,-0.04769412,-0.236874241,-0.193657539,-0.64209772,-0.775144985,-0.670734709,-0.719276623,-0.758505287,-0.751008876,-0.102568068,-0.167675026,-0.032186269,-0.579076454,-0.663079839,0.077066559,-0.604752108,-0.615643695,0.112319842,-0.716822144,-0.703839403,-0.084607523,-0.810085499,-0.810032719,0.059962873,0.014094389,0.013450019,0.035900826,-0.019207475,-0.50332342,0.075626284,-0.017490151
10,NA,4,0.274183111,-0.014808155,-0.107521431,-0.605211728,-0.509929384,-0.709492736,0.706593043,0.112591195,0.164130897,-0.962636979,-0.9414168,-0.941403426,0.078863785,0.003513409,-0.007373751,-0.631853083,-0.584063205,-0.843353231,-0.028941791,-0.078722991,0.095717487,-0.701397703,-0.798235749,-0.726374197,-0.107859316,-0.040042757,-0.05780893,-0.723788618,-0.902502593,-0.748369141,-0.561582135,-0.60655605,-0.561582135,-0.60655605,-0.656116312,-0.647249967,-0.656291094,-0.706738494,-0.819191368,-0.844187064,-0.628806379,-0.525834566,-0.755235429,-0.597551324,-0.534661524,-0.708764044,-0.184518571,0.084770754,-0.016409686,-0.652023078,-0.601696224,-0.825154871,-0.644622005,-0.593855152,-0.860544668,-0.000543992,-0.180584111,-0.110565549,-0.641881978,-0.831527531,-0.689308946,-0.721749187,-0.782885736,-0.767089573,-0.118518212,-0.375332545,0.02418894,-0.602098038,-0.672948342,0.096363669,-0.635019005,-0.666506719,0.160479883,-0.745650755,-0.732586305,-0.129301517,-0.83883321,-0.863096864,0.159075728,0.008033304,-0.011144754,0.027080773,0.01177783,-0.576544037,-0.032362746,-0.095462421
